CodProd,Desc. Prod.,CodBarra
1001817,KIT NECESSAIRE 145G,7896986237744
1001846,KIT SPA DO CHOCOLATE MEGA 37G,7896986238536
1001850,LATA CORACAO NAMORADOS 52G,7896986219641
1001962,CACAU BAR NOVOS SABORES 210G,7896986243646
1001971,CX CACAU RUBY 108G,7896986243769
1002022,CX BBS LANUT 108,7896986246050
1002027,CX GRANCHERIE 152G,7896986245015
1002028,CX LANUT 148G,7896986245022
1002029,PETIT DELI TORTINHA,7896986246722
1002084,POTE LANUT 216G,7896986248665
1002087,CX BBS ANGEL 250 CUPIDO SORTIDO,7896986248757
1002088,KIT HASHTAG PINCEIS 162G,7896986248788
1002089,CHOCOARTE HASHTAG SORTIDO 40G,7896986248801
1002090,LATA CORACAO GOURMET 165G,7896986248658
1002094,CX PORTA RETRATO 135G,7896986248672
1002096,MINITABLETES HASHTAG 90G,7896986248702
1002105,DISPLAY CORACAO AMOR 160G,7896986248689
1002106,BUQUE DOCE GESTO 93 CEREJA,7896986248696
1002121,CUBO MAES 145 BRIGADEIRO,7896986249655
1002122,CUBO NAMORADOS 145 BRIGADEIRO,7896986249662
1002186,CAIXA MESTRE CERVEJEIRO STOUT,7896986252464
1002212,COPO MIAU 135GX08UN,7896986251900
1002216,CHOCOMONSTROS BOLA 135G,7896986251849
1002222,CX GOURMET BOMBONS BELGA 240G,7896986251009
1002256,ROSA DOCE GESTO 1UN,
1002290,CX BBS ANGEL 160 DIAMANTE,7896986254628
1002321,CX GOURMET BLACK 155G,7896986254956
1002326,TABLETE DG DIA DA MULHER 100G,7896986254888
1002330,CX AMOR OCULTO 145GX10UN,7896986254949
1002331,CX CORACAO MAES 52G,7896986255403
1002332,CX CORACAO NAMORADOS 52G,7896986255410
1002458,CX MINI DELICIAS GOURMET 100G,7896986258374
1002484,CX BBS GOURMET 485 SORTIDO,7896986258824
1002485,CX BBS BENDITO CACAO 170 SORTIDO,7896986258848
1002486,CX BBS GOURMET HARM CAFE 160,7896986258879
1002487,CX BBS GOURMET HARM VINHO 179,7896986278242
